,AP @[IoU=0.50:0.95|area=all|maxDets=10],AP @[IoU=0.5|area=all|maxDets=100],AP @[IoU=0.75|area=all|maxDets=100],AR @[IoU=0.50:0.95|area=all|maxDets=10],AR @[IoU=0.50:0.95|area=all|maxDets=100],Dataset,Model,Backbone,Interpolation,Snapshot,FPS,Split,DeviceType,DeviceName
0,0.7221263233236348,0.9579426033664123,0.8522887929762966,0.7094812807118365,0.7976062793665961,2class,CPNDET,DLA34,None,20000,16.82,minival,GPU,NVIDIA GeForce RTX 3090
0,0.7185887908613902,0.9546288086564942,0.8499115917026857,0.7177386156453692,0.7963820264713452,2class,CPNDET,DLA34,None,20000,16.55,testdev,GPU,NVIDIA GeForce RTX 3090
0,0.6506703313937329,0.93113901233626,0.7513028816191037,0.7055620450876474,0.7344068959246737,11class,CPNDET,HG104,bilinear,30000,5.69,minival,GPU,NVIDIA GeForce RTX 3090
0,0.6475488992108831,0.9243058139962332,0.7493943739425375,0.7041886716950401,0.7341803739005109,11class,CPNDET,HG104,bilinear,30000,5.83,testdev,GPU,NVIDIA GeForce RTX 3090
0,0.7239646142240636,0.9546033818088812,0.8607214408548606,0.7117223165684102,0.8034456447575445,2class,CPNDET,HG104,bilinear,20000,5.24,minival,GPU,NVIDIA GeForce RTX 3090
0,0.7196136307037221,0.9504484278986144,0.8526943420224651,0.7167281254764103,0.7975731404214692,2class,CPNDET,HG104,bilinear,20000,5.23,testdev,GPU,NVIDIA GeForce RTX 3090
0,0.6793980351320487,0.9401458567780362,0.7966387828427852,0.7264500246630251,0.7537566577659568,11class,CPNDET,HG52,bilinear,30000,7.94,minival,GPU,NVIDIA GeForce RTX 3090
0,0.6674334419434992,0.9255001304610287,0.7820258650697992,0.7175858845954919,0.7462607891090847,11class,CPNDET,HG52,bilinear,30000,8.28,testdev,GPU,NVIDIA GeForce RTX 3090
0,0.6786830180911424,0.9405268116080376,0.7852960034071624,0.7263187018406109,0.7539472808684079,11class,CPNDET,HG52,bicubic,30000,7.76,minival,GPU,NVIDIA GeForce RTX 3090
0,0.6693455260453293,0.9262094831945048,0.7816133314823931,0.7206187359255952,0.7495926741858697,11class,CPNDET,HG52,bicubic,30000,8.11,testdev,GPU,NVIDIA GeForce RTX 3090
0,0.7197018953673453,0.9582388863701936,0.8544051956247952,0.7115505562837791,0.8043275574094759,2class,CPNDET,HG52,bilinear,20000,7.32,minival,GPU,NVIDIA GeForce RTX 3090
0,0.721778918076856,0.9557434825285896,0.8530747369562288,0.718338142563376,0.8028151137900847,2class,CPNDET,HG52,bilinear,20000,7.39,testdev,GPU,NVIDIA GeForce RTX 3090
